Object Number,Restuarant Name,Restaurant Street address,Restaurant City,State,year opened,year closed,Owner surname(s),Is it in the 1960 Catalog?,pattern,earliest year for artifact,latest year for artifact,Pattern varient,Additional Design,Vessel form,rim diameter (cm),vessel height (in cm),thickness of vessel walls (in mm),thickness of lip (in mm),foot rim diameter (cm),height of foot (in mm),Mark (use letter code sheet),"sticker (use code, 0=none)",volume of cup or teapot in ml,weight (in grams),Additional design
FSL-144,Bill Woo Chop Suey,16618 E. Warren Ave. ,Detroit,MI,,,,,Women/Characters,,,,,Tea Cup,8.00 cm,5.00 cm,5.16 mm,6.42 mm,4.00 cm,3.00 cm,B,0,110.00 ml,143.30 g,
FSL-200,Bob Lee's Lantern House,20 Tyler St. ,Boston ,MA,1952,1960,,,Individualized Logo,,,,Red Dragon,Tea Cup,7.50 cm,5.00 cm,5.89 mm,7.84 mm,4.00 cm,3.00 mm,B,0,100.00 ml,144.20 g,
FSL-128,Bugle Cafe,1498 South K St.,Tulare,CA,,,,,God of Longevity,,,,,Ash Tray,10.00 cm,2.50 cm,5.31 mm,,5.00 cm,,D,0,,85.73 g,
FSL-044,C & L Tahitian Rest,1342 Jadwin Ave,Richland (Uptown),WA,1956,1976,,,Women/Characters,,,,,Tea Cup,7.50 cm,5.00 cm,6.12 mm,8.00 mm,4.00 cm,2.00 mm,D,0,110.00 ml,148.00 g,
FSL-075,C & L Tahitian Rest,1342 Jadwin Ave,Richland (Uptown),WA,1956,1976,,,Women/Characters,,,,,Saucer,12.00 cm,2.00 cm,4.11 mm,,7.00 cm,,C,0,,144.16 g,
FSL-021,Canton Cafe,S. W. Emigrant at 5th,Pendleton,OR,1960,1975,,,Bird/Flowers,,,B-III,,Tea Cup,8,5.00 cm,6.00 mm,7.46 mm,4.00 cm,2.00 mm,D,0,110.00 ml,150.00 g,
FSL-041,Canton Cafe,205 S.G St. ,Aberdeen,WA,1950,2025,,,Dragon/Phoenix,1950–1959,1983,A-VII,,Tea Cup,7.50 cm,5.00 cm,5.20 mm,6.50 mm,4.00 cm,5.00 mm,C,0,110.00 ml,125.50 g,
FSL-160,Canton Cafe,408 Hillsboro,Raleigh,NC,1969,1996,,,Dragon/phoenix without thunder border or flaming pearl,,,I-*,Two Figures and an Incense Burner,Tea Cup,8.00 cm,5.00 cm,6.49 mm,8.76 mm,4.00 cm,3.00 mm,D,0,110.00 ml,141.70 g,
FSL-288,Canton Cafe,2550 Washington Blvd. ,Ogden,WA,,,,,Dragon/Phoenix,,1983,A-V,Chinese characters,tea bowl,7.58 cm,5.32. cm,5.47 mm,6.5 mm,3.21 cm,4.5 mm,B,0,95 ml,117,
FSL-299,Canton Cafe,205 South G St.,Aberdeen,WA,1959,2025,,,Dragon/Phoenix,1950–1959,1983,DPIV,,Tea Cup,7.4 cm,5.2 cm,5.2 mm,6.95 mm,3.2 cm,2 mm,K,0,106 ml,127.1 g,
FSL-403,Canton Cafe,205 South G St.,Aberdeen ,WA,1959,2025,,,Dragon and Phoenix,1950–1959,1983,DP IV,3 red Chinese characters inside of cup,tea cup,,,,,,,B,0,,,
